route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-502-s18-1,1,502,"Erding, Irlanger / Klinikum Süd / Erding - Berglern - Langenpreising - Wartenberg",701,,008351,FFFFFF
19-505-s18-1,1,505,Markt Schwaben - Isen - Mittbach,701,,008351,FFFFFF
19-507-s18-1,1,507,Erding - Notzing - Ottenhofen - Markt Schwaben,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-511-s18-1,1,511,"Freising, Berufsschule/Freising  - Schwaig - Oberding/Notzing - Erding, K.-Aigner-Gymn. - Erding",701,,008351,FFFFFF
19-512-s18-1,1,512,"Flughafen München, MAC/Terminal 1 /Terminal 2 - Schwaig - Oberding - Notzing/Niederding - Erding",701,,008351,FFFFFF
19-515-s18-1,1,515,"Erding - Erding, Klinikum - Notzing - Hallbergmoos",701,,008351,FFFFFF
19-520-s18-1,1,520,Erding - Pretzen - Altenerding - Gewerbegebiet West - Klinikum Süd - Pretzen - Erding - Stadtmitte - Erding,701,,008351,FFFFFF
19-530-s18-1,1,530,Erding - Williamsville - Erding - A.-Bruckner-Str. - F.-Brombach-Str. - Grüner Markt - Erding,701,,008351,FFFFFF
19-531-s18-1,1,531,"Ismaning - Eichenried - Moosinning - Erding, Neuer Friedhof (Therme) - Klinikum Süd/Nord (- Erding )",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-540-s18-1,1,540,Erding - Grüner Markt - F.-Brombach-Str. - A.-Bruckner-Str. - Erding - Williamsville - Erding,701,,008351,FFFFFF
19-550-s18-1,1,550,Erding - Altenerding - Therme Erding (nur Mo-Fr) - Klinikum Nord - Erding,701,,008351,FFFFFF
19-550-s18-2,1,550,Erding - Altenerding - Therme Erding (nur Mo-Fr) - Klinikum Nord - Erding,701,,008351,FFFFFF
19-560-s18-1,1,560,Erding - Klinikum - Therme Erding (nur Mo-Fr) - Altenerding - Erding,701,,008351,FFFFFF
19-560-s18-2,1,560,Erding - Klinikum - Therme Erding (nur Mo-Fr) - Altenerding - Erding,701,,008351,FFFFFF
19-561-s18-1,1,561,"Erding - Fraunberg - Maria Thalheim - Steinkirchen - Schröding - Kirchberg - Wartenberg, Feuerwehrhaus",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-562-s18-1,1,562,"Erding, Irlanger / Klinikum Nord / Erding - Inning am Holz - Taufkirchen (Vils), Gewerbegebiet",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-564-s18-1,1,564,Buchbach - Dorfen - Kirchasch - Erding - K.-Aigner-Gymnasium/Klinikum,701,,008351,FFFFFF
19-565-s18-1,1,565,Erding - Papferding - Kirchasch - Niedergeislbach - Maierklopfen/Lengdorf - (Angerskirchen -) Dorfen Bahnhof,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-567-s18-1,1,567,"Erding, Irlanger - Klinikum Süd - Erding - Isen - St. Wolfgang - Dorfen, Marienplatz",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-567-s18-2,1,567,"Erding, Irlanger - Klinikum Süd - Erding - Isen - St. Wolfgang - Dorfen, Marienplatz",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-568-s18-1,1,568,Erding - Klinikum Nord - Neuer Friedhof (Therme) - Moosinning - Finsing - Markt Schwaben,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-569-s18-1,1,569,"Erding, Irlanger / Berufsschule / Erding - Niederding - Eitting - Eittingermoos - Gaden Ost",701,,008351,FFFFFF
